"","INSTNM","GRAD_DEBT_MDN"
"682","Luther Rice College & Seminary","30478"
"683","State College of Florida-Manatee-Sarasota","9250"
"684","Manatee Technical College","PrivacySuppressed"
"685","Traviss Technical College","PrivacySuppressed"
"686","Merryfield School of Pet Grooming","6333"
"687","Trinity International University-Florida","25125"
"688","Miami Lakes Educational Center and Technical College","PrivacySuppressed"
"689","Miami Dade College","9500"
"690","University of Miami","17500"
"691","Orange Technical College-Mid Florida Campus","PrivacySuppressed"
"692","Paul Mitchell the School-Jacksonville","12389"
"693","North Florida College","PrivacySuppressed"
"694","University of North Florida","16331"
"695","Nova Southeastern University","25000"
"696","Northwest Florida State College","6459"
"697","Orange Technical College-Orlando Campus","PrivacySuppressed"
"698","Palm Beach Atlantic University","22512"
"699","Palm Beach State College","7000"
"700","Pasco-Hernando State College","10286"
"701","Pensacola State College","7000"
"702","Pinellas Technical College-Clearwater","PrivacySuppressed"
"703","Polk State College","9750"
"704","Radford M Locklin Technical College","PrivacySuppressed"
"705","Saint Vincent de Paul Regional Seminary","NULL"
"706","Ridge Technical College","PrivacySuppressed"
"707","Ringling College of Art and Design","27000"
"708","Robert Morgan Educational Center and Technical College","PrivacySuppressed"
"709","Rollins College","26000"
"710","First Coast Technical College","PrivacySuppressed"
"711","Saint Leo University","25735"
"712","St Petersburg College","17443"
"713","Pinellas Technical College-St. Petersburg","PrivacySuppressed"
"714","Santa Fe College","11250"
"715","Suncoast Technical College","PrivacySuppressed"
"716","Seminole State College of Florida","11250"
"717","Sheridan Technical College","PrivacySuppressed"
"718","St. John Vianney College Seminary","PrivacySuppressed"
"719","Saint Johns River State College","12375"
"720","South Florida State College","8377"
"721","University of South Florida","18341"
"722","St. Thomas University","21500"
"723","Stetson University","24000"
"724","Southeastern University","21500"
"725","Bene's Career Academy","6333"
"726","Riveroak Technical College","PrivacySuppressed"
"727","Tallahassee Community College","9167"
"728","Talmudic College of Florida","PrivacySuppressed"
