"","INSTNM","GRAD_DEBT_MDN"
"729","Altierus Career College-Tampa","8898"
"730","The University of Tampa","24250"
"731","Big Bend Technical College","PrivacySuppressed"
"732","Tom P Haney Technical Center","PrivacySuppressed"
"733","Trinity Baptist College","23531"
"734","Trinity College of Florida","26450"
"735","Valencia College","9250"
"736","Warner University","24565"
"737","Florida Panhandle Technical College","PrivacySuppressed"
"738","Webber International University","22750"
"739","Rasmussen University-Florida","20000"
"740","The University of West Florida","16500"
"741","Orange Technical College-Westside Campus","PrivacySuppressed"
"742","William T McFatter Technical College","PrivacySuppressed"
"743","Orange Technical College-Winter Park Campus","PrivacySuppressed"
"744","Withlacoochee Technical College","PrivacySuppressed"
"745","Abraham Baldwin Agricultural College","17500"
"746","Agnes Scott College","26737"
"747","Interactive College of Technology-Chamblee","10711"
"748","Interactive College of Technology-Morrow","10711"
"749","Albany Technical College","11500"
"750","Albany State University","26487"
"751","Andrew College","12000"
"752","The Art Institute of Atlanta","30750"
"753","Georgia Career Institute","7683"
"754","Atlanta Technical College","10908"
"755","Point University","24927"
"756","Atlanta Metropolitan State College","13220"
"757","Atlanta's John Marshall Law School","PrivacySuppressed"
"758","Atlanta School of Massage","7917"
"759","Clark Atlanta University","27000"
"760","Augusta Technical College","5891"
"761","Berry College","23987"
"762","Beulah Heights University","PrivacySuppressed"
"763","Brenau University","28063"
"764","Brewton-Parker College","25500"
"765","Brown College of Court Reporting","PrivacySuppressed"
"766","College of Coastal Georgia","16000"
"767","West Georgia Technical College","11222"
"768","Clayton  State University","26865"
"769","Columbia Theological Seminary","PrivacySuppressed"
"770","Columbus Technical College","8126"
"771","Columbus State University","25880"
"772","Georgia Northwestern Technical College","6665"
"773","Covenant College","23430"
"774","Dalton State College","13200"
"775","Pro Way Hair School","10469"
"776","South University-Savannah","25379"
"777","East Georgia State College","11500"
"778","Emmanuel College","24728"
"779","Emory University","16556"
"780","Georgia Highlands College","11104"
"781","Fort Valley State University","31000"
"782","Grady Health System Professional Schools","PrivacySuppressed"
"783","Georgia Institute of Technology-Main Campus","22250"
"784","Georgia Southwestern State University","20100"
"785","Georgia College & State University","22500"
"786","Georgia Southern University","23250"
"787","Georgia State University","21500"
"788","University of Georgia","18625"
"789","Gordon State College","16450"
"790","Southern Crescent Technical College","8942"
"791","Gupton Jones College of Funeral Service","16042"
"792","Gwinnett College-Lilburn","17605"
"793","Gwinnett Technical College","14250"
"794","Interdenominational Theological Center","PrivacySuppressed"
"795","LaGrange College","26000"
"796","Lanier Technical College","PrivacySuppressed"
"797","Life University","16801"
"798","Chattahoochee Technical College","PrivacySuppressed"
"799","Herzing University-Atlanta","22052"
"800","Mercer University","25000"
"801","Morehouse College","25000"
"802","Morehouse School of Medicine","PrivacySuppressed"
"803","North Georgia Technical College","7558"
"804","Oglethorpe University","26000"
"805","Paine College","30747"
"806","Piedmont University","25000"
"807","Miami Ad School-Atlanta","21250"
"808","Reinhardt University","24000"
"809","Savannah Technical College","4500"
"810","Savannah College of Art and Design","25000"
"811","Savannah State University","29313"
"812","Shorter University","25598"
"813","South Georgia Technical College","PrivacySuppressed"
"814","The Creative Circus","27883"
"815","Spelman College","26000"
"816","Thomas University","22250"
"817","Toccoa Falls College","22009"
"818","Truett McConnell University","24111"
"819","Wiregrass Georgia Technical College","PrivacySuppressed"
"820","Valdosta State University","25000"
"821","Wesleyan College","25125"
"822","University of West Georgia","24026"
"823","Young Harris College","27000"
"824","Chaminade University of Honolulu","23235"
"825","University of Hawaii at Hilo","19209"
"826","University of Hawaii at Manoa","18575"
"827","Hawaii Institute of Hair Design","5500"
"828","Hawaii Pacific University","21384"
"829","Honolulu Community College","8000"
"830","Kapiolani Community College","10000"
"831","Kauai Community College","7329"
"832","Leeward Community College","6500"
"833","University of Hawaii Maui College","12000"
"834","University of Hawaii-West Oahu","15453"
"835","Windward Community College","10500"
"836","Carrington College-Boise","15487"
"837","Boise Bible College","23000"
"838","Boise State University","21475"
"839","College of Eastern Idaho","11500"
"840","Idaho State University","21000"
"841","University of Idaho","22425"
"842","The College of Idaho","24125"
"843","Lewis-Clark State College","18500"
"844","Aveda Institute-Twin Falls","9400"
"845","Mr Leon's School of Hair Design-Moscow","14000"
"846","North Idaho College","9000"
"847","Northwest Nazarene University","23250"
"848","Elevate Salon Institute-Chubbuck","10250"
"849","Brigham Young University-Idaho","13243"
"850","College of Southern Idaho","8500"
"851","Adler University","PrivacySuppressed"
"852","American Academy of Art","27000"
"853","American Islamic College","NULL"
"854","School of the Art Institute of Chicago","27000"
"855","Augustana College","27000"
"856","Aurora University","21250"
"857","Tricoci University of Beauty Culture-Urbana","9000"
"858","Southwestern Illinois College","6969"
"859","Bethany Theological Seminary","PrivacySuppressed"
"860","Black Hawk College","8500"
"861","Blackburn College","24001"
"862","Blessing Rieman College of Nursing and Health Sciences","14000"
"863","Blessing Hospital School of Radiologic Technology","14000"
"864","Bradley University","27000"
"865","Paul Mitchell the School-Bradley","9349"
"866","Cameo Beauty Academy","9833"
"867","Cannella School of Hair Design-Villa Park","PrivacySuppressed"
"868","Cannella School of Hair Design-Chicago","4549"
"869","Cannella School of Hair Design-Chicago","PrivacySuppressed"
"870","Empire Beauty School-Hanover Park","13000"
"871","Capri Beauty College","9833"
"872","Carl Sandburg College","4500"
"873","Catholic Theological Union at Chicago","PrivacySuppressed"
"874","Midwestern University-Downers Grove","PrivacySuppressed"
"875","The Chicago School of Professional Psychology at Chicago","20000"
"876","Chicago State University","31000"
"877","Chicago Theological Seminary","PrivacySuppressed"
"878","University of Chicago","14601"
"879","City Colleges of Chicago-Kennedy-King College","6093"
"880","City Colleges of Chicago-Malcolm X College","8000"
"881","City Colleges of Chicago-Olive-Harvey College","7059"
"882","City Colleges of Chicago-Harry S Truman College","6250"
"883","City Colleges of Chicago-Richard J Daley College","3625"
"884","City Colleges of Chicago-Harold Washington College","5250"
"885","City Colleges of Chicago-Wilbur Wright College","5900"
"886","Columbia College Chicago","25000"
"887","Concordia University-Chicago","23250"
"888","Coyne College","9500"
"889","Danville Area Community College","7351"
"890","Tricoci University of Beauty Culture-Danville","9000"
"891","DePaul University","24115"
"892","Cosmetology & Spa Academy","9500"
"893","College of DuPage","9839"
"894","East-West University","28810"
"895","Eastern Illinois University","21900"
"896","Elgin Community College","6638"
"897","Elmhurst University","20068"
"898","Eureka College","25000"
"899","First Institute of Travel Inc.","9500"
"900","Fox College","16000"
"901","Garrett-Evangelical Theological Seminary","PrivacySuppressed"
"902","Gem City College","9651"
"903","Governors State University","18750"
"904","Graham Hospital School of Nursing","PrivacySuppressed"
"905","Greenville University","25000"
"906","G Skin & Beauty Institute","6333"
"907","Hair Professionals Career College","9500"
"908","Hair Professionals School of Cosmetology","9833"
"909","Hebrew Theological College","8500"
"910","Highland Community College","8029"
"911","Rosalind Franklin University of Medicine and Science","PrivacySuppressed"
"912","University of Illinois Chicago","17250"
"913","Benedictine University","22500"
"914","Illinois College of Optometry","NULL"
"915","University of Illinois Urbana-Champaign","19500"
"916","Illinois Wesleyan University","27000"
"917","Illinois Central College","8000"
"918","Illinois College","27000"
"919","Olney Central College","6400"
"920","Illinois Institute of Technology","24250"
"921","Illinois State University","20000"
"922","Illinois Valley Community College","7250"
"923","Institute for Clinical Social Work","NULL"
"924","John A Logan College","PrivacySuppressed"
"925","The John Marshall Law School","NULL"
"926","John Wood Community College","8500"
"927","Joliet Junior College","9784"
"928","Judson University","24899"
"929","Kankakee Community College","8780"
"930","Kaskaskia College","5000"
"931","Kishwaukee College","9395"
"932","Knox College","27000"
"933","Educators of Beauty College of Cosmetology-Peru","9647"
"934","College of Lake County","7939"
"935","Lake Forest College","27000"
"936","Lake Forest Graduate School of Management","PrivacySuppressed"
"937","Lake Land College","6078"
"938","Lakeview College of Nursing","16500"
"939","Lewis and Clark Community College","6750"
"940","Lewis University","22746"
"941","Lincoln Christian University","19875"
"942","Lincoln College","19000"
"943","Lincoln Land Community College","10489"
"944","Lincoln College of Technology-Melrose Park","11250"
"945","Loyola University Chicago","24194"
"946","Lutheran School of Theology at Chicago","PrivacySuppressed"
"947","Trinity College of Nursing & Health Sciences","22500"
"948","Steven Papageorge Hair Academy","PrivacySuppressed"
"949","MacCormac College","23740"
"950","MacMurray College","23619"
"951","McCormick Theological Seminary","PrivacySuppressed"
"952","McHenry County College","7000"
"953","McKendree University","23250"
"954","Meadville Lombard Theological School","PrivacySuppressed"
"955","Methodist College","31250"
"956","Millikin University","27000"
"957","Monmouth College","27000"
"958","Moody Bible Institute","14000"
"959","Moraine Valley Community College","9222"
"960","Morrison Institute of Technology","12000"
"961","Morton College","7500"
"962","Mr John's School of Cosmetology Esthetics & Nails-Decatur","14837"
"963","National Louis University","20613"
